Title,Company,Location,Reward
python 개발자(5년 이상),자이온아이티에스,합격보상금 100만원,https://www.wanted.co.kr/wd/209422
"개발자 (JAVA,Python,AI,IoT)",펀진,합격보상금 100만원,https://www.wanted.co.kr/wd/161900
Python 서버개발자,크로스이엔에프,합격보상금 100만원,https://www.wanted.co.kr/wd/153489
Python 백엔드 개발자 (3년이상),엠몬스타,합격보상금 100만원,https://www.wanted.co.kr/wd/196490
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/193356
풀스택 웹 개발자 (Python/Django),웜블러드,합격보상금 100만원,https://www.wanted.co.kr/wd/142233
백엔드 엔지니어 (Python),엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/57878
Back-end Developer_Python_AI Service (2년 이상),쏘마,합격보상금 100만원,https://www.wanted.co.kr/wd/198178
python 개발자(5년 이상),자이온아이티에스,합격보상금 100만원,https://www.wanted.co.kr/wd/209422
"개발자 (JAVA,Python,AI,IoT)",펀진,합격보상금 100만원,https://www.wanted.co.kr/wd/161900
Python 서버개발자,크로스이엔에프,합격보상금 100만원,https://www.wanted.co.kr/wd/153489
Python 백엔드 개발자 (3년이상),엠몬스타,합격보상금 100만원,https://www.wanted.co.kr/wd/196490
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/193356
풀스택 웹 개발자 (Python/Django),웜블러드,합격보상금 100만원,https://www.wanted.co.kr/wd/142233
백엔드 엔지니어 (Python),엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/57878
Back-end Developer_Python_AI Service (2년 이상),쏘마,합격보상금 100만원,https://www.wanted.co.kr/wd/198178
[Python] 백엔드 테크 리드 / 핀테크,얼리페이,합격보상금 100만원,https://www.wanted.co.kr/wd/206123
[1500억↑투자] Senior Backend Engineer - Python,트릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/96146
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",메디인테크,합격보상금 100만원,https://www.wanted.co.kr/wd/100407
"C#, C++, Python, IoT MCU(아두이노,RPi) 개발자",아이티로그,합격보상금 100만원,https://www.wanted.co.kr/wd/187186
글로벌팀 백엔드 엔지니어 (Python),엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/182859
Python application & Algorithm 개발자,메디픽셀,합격보상금 100만원,https://www.wanted.co.kr/wd/190006
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,합격보상금 100만원,https://www.wanted.co.kr/wd/147487
Frontend 및 Backend(python) 개발자,마인즈앤컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/156436
"웹개발자(Python, Django) 3년이상",리걸테크,합격보상금 100만원,https://www.wanted.co.kr/wd/148349
Python Developer,사이버메드,합격보상금 100만원,https://www.wanted.co.kr/wd/148605
백엔드(Python) 엔지니어,액스,합격보상금 100만원,https://www.wanted.co.kr/wd/209122
이커머스 솔루션 Python Backend 개발자,샐러드랩,합격보상금 100만원,https://www.wanted.co.kr/wd/209397
"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA,주니어)",페이타랩(패스오더),합격보상금 100만원,https://www.wanted.co.kr/wd/45650
"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA)",페이타랩(패스오더),합격보상금 100만원,https://www.wanted.co.kr/wd/196993
[플레이오][신입] Python 백엔드 개발,지엔에이컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/193602
[100억↑투자] 백엔드(Python) 개발자 (QUAT),엔라이즈(NRISE),합격보상금 100만원,https://www.wanted.co.kr/wd/190204
백엔드 엔지니어 (Python),아이네블루메(채티),합격보상금 100만원,https://www.wanted.co.kr/wd/60926
python 백엔드 개발자,피트릭스,합격보상금 100만원,https://www.wanted.co.kr/wd/61440
백엔드 엔지니어 (Python),버핏서울,합격보상금 100만원,https://www.wanted.co.kr/wd/197592
"백엔드 개발자(Python, Django) (2년차 이상)",와이피랩스(커넥팅),합격보상금 100만원,https://www.wanted.co.kr/wd/169285
"코박(Cobak) 백앤드 개발자[3년 이상] (Python, Django)",판도라티비,합격보상금 100만원,https://www.wanted.co.kr/wd/209286
오픈업 데이터 엔지니어 (Python),핀다(FINDA),합격보상금 100만원,https://www.wanted.co.kr/wd/180080
Python 백엔드 개발자,패스트파이브,합격보상금 100만원,https://www.wanted.co.kr/wd/203425
백엔드 엔지니어 (Python),피클플러스,합격보상금 100만원,https://www.wanted.co.kr/wd/172732
[신입] 백엔드 엔지니어 (Python),엘리스,합격보상금 100만원,https://www.wanted.co.kr/wd/162405
Python Django 기반 서버 개발,블리몽키즈,합격보상금 100만원,https://www.wanted.co.kr/wd/184372
[400억↑투자] SW Developer(Python or Javascript),수퍼톤,합격보상금 100만원,https://www.wanted.co.kr/wd/166771
[200억↑투자] 서비스 API (Python/Django) 개발,놀이의발견,합격보상금 100만원,https://www.wanted.co.kr/wd/181923
